zone,hour,hourly_mw,temp
AE,0,888.6467,50.8
AE,1,856.9139,51.3
AE,2,832.19305,51.6
AE,3,815.4024,51.0
AE,4,825.33344,51.0
AE,5,889.7659,49.8
AE,6,976.3388,48.7
AE,7,1029.736,46.5
AE,8,1042.7166,45.5
AE,9,1045.553,45.0
AE,10,1051.1824,45.1
AE,11,1022.7509,46.7
AE,12,1035.6548,47.9
AE,13,1048.3672,48.8
AE,14,1053.8,48.8
AE,15,1110.0366,47.0
AE,16,1167.6716,45.2
AE,17,1267.1332,42.7
AE,18,1299.4641,40.7
AE,19,1249.0774,39.3
AE,20,1212.1675,38.0
AE,21,1161.6617,37.4
AE,22,1086.7896,37.1
AE,23,1001.9263,35.9
AEP,0,12752.163,42.8
AEP,1,12702.391,41.1
AEP,2,12899.604,40.2
AEP,3,12713.081,40.6
AEP,4,13570.864,39.4
AEP,5,14473.409,39.2
AEP,6,15450.064,38.2
AEP,7,15928.221,38.3
AEP,8,16107.954,37.3
AEP,9,15915.573,37.5
AEP,10,15813.736,37.8
AEP,11,15993.579,38.2
AEP,12,16036.775,38.4
AEP,13,15711.224,36.1
AEP,14,15723.77,38.9
AEP,15,15736.556,38.0
AEP,16,15814.739,38.6
AEP,17,16123.52,36.6
AEP,18,16310.653,35.6
AEP,19,16596.03,35.3
AEP,20,16672.447,34.2
AEP,21,16670.275,32.0
AEP,22,15752.487,31.9
AEP,23,15171.292,32.1
AP,0,5098.9062,40.1
AP,1,4829.0454,40.6
AP,2,4752.6377,40.5
AP,3,4976.784,39.1
AP,4,5192.758,38.3
AP,5,5436.431,37.2
AP,6,5906.806,37.2
AP,7,6162.415,36.8
AP,8,6460.454,35.1
AP,9,6293.4263,33.6
AP,10,6282.782,33.4
AP,11,6281.7666,34.1
AP,12,6252.944,33.6
AP,13,6238.9517,32.7
AP,14,6192.205,32.3
AP,15,6118.675,31.4
AP,16,6330.932,31.5
AP,17,6668.4614,31.6
AP,18,6570.1045,31.5
AP,19,6621.595,31.7
AP,20,6438.877,31.6
AP,21,6222.641,31.7
AP,22,5685.452,31.4
AP,23,5368.571,30.5
ATSI,0,6811.502,37.2
ATSI,1,6684.518,36.2
ATSI,2,6559.36,35.9
ATSI,3,6639.9214,35.0
ATSI,4,6693.5137,34.5
ATSI,5,7111.717,34.9
ATSI,6,7825.14,34.4
ATSI,7,8208.862,33.8
ATSI,8,8356.698,34.2
ATSI,9,8410.274,35.2
ATSI,10,8465.213,36.0
ATSI,11,8575.283,36.4
ATSI,12,8576.246,36.3
ATSI,13,8533.102,37.0
ATSI,14,8294.913,36.1
ATSI,15,8222.464,34.7
ATSI,16,8386.859,34.0
ATSI,17,8422.057,32.6
ATSI,18,8499.134,32.8
ATSI,19,8323.4375,32.5
ATSI,20,8286.563,32.5
ATSI,21,8031.3433,32.0
ATSI,22,7649.726,31.5
ATSI,23,7364.619,31.6
BC,0,2796.7542,39.6
BC,1,2736.8135,39.9
BC,2,2704.922,40.5
BC,3,2654.5,40.7
BC,4,2844.5977,40.0
BC,5,3057.6614,39.7
BC,6,3393.6326,39.5
BC,7,3619.3235,39.9
BC,8,3671.4329,40.5
BC,9,3605.2415,42.9
BC,10,3608.959,45.7
BC,11,3568.1387,48.2
BC,12,3469.9407,47.8
BC,13,3508.901,48.0
BC,14,3496.7026,47.4
BC,15,3487.8582,45.5
BC,16,3864.5105,43.3
BC,17,4048.1174,40.2
BC,18,3961.3096,38.7
BC,19,4083.1746,37.1
BC,20,4115.1587,36.3
BC,21,3821.5352,35.8
BC,22,3454.8875,34.5
BC,23,3329.5354,33.8
CE,0,9717.387,33.3
CE,1,9406.908,32.9
CE,2,9107.486,34.3
CE,3,8958.144,34.0
CE,4,8939.01,33.6
CE,5,9299.671,32.8
CE,6,10050.231,32.9
CE,7,10861.32,33.1
CE,8,11232.66,32.6
CE,9,11388.278,33.2
CE,10,11434.237,33.2
CE,11,11614.367,33.3
CE,12,11679.029,34.6
CE,13,11823.903,34.4
CE,14,11719.598,35.7
CE,15,11667.168,36.3
CE,16,11631.986,36.6
CE,17,11794.166,35.8
CE,18,12042.497,34.6
CE,19,11849.532,33.5
CE,20,11829.378,31.9
CE,21,11384.524,31.9
CE,22,10870.267,31.8
CE,23,10160.394,31.6
DAY,0,1800.0629,35.7
DAY,1,1752.0416,35.7
DAY,2,1763.852,35.6
DAY,3,1785.8093,35.2
DAY,4,1905.5616,34.1
DAY,5,2021.0132,34.4
DAY,6,2167.879,33.8
DAY,7,2286.1873,34.3
DAY,8,2295.7715,33.2
DAY,9,2360.4893,33.7
DAY,10,2341.9644,34.3
DAY,11,2336.6013,35.2
DAY,12,2342.2195,35.2
DAY,13,2267.2202,36.2
DAY,14,2248.2178,36.1
DAY,15,2253.3245,36.7
DAY,16,2271.1262,34.7
DAY,17,2304.2551,33.8
DAY,18,2388.7322,32.5
DAY,19,2378.2393,31.6
DAY,20,2331.5405,30.8
DAY,21,2237.7373,29.9
DAY,22,2143.806,29.9
DAY,23,2057.462,28.7
DEOK,0,2501.428,38.1
DEOK,1,2452.0657,37.4
DEOK,2,2401.301,37.2
DEOK,3,2441.22,36.2
DEOK,4,2497.4065,35.5
DEOK,5,2775.3113,34.9
DEOK,6,3103.4893,34.3
DEOK,7,3155.9639,35.6
DEOK,8,3223.6392,35.2
DEOK,9,3243.9673,35.1
DEOK,10,3215.3003,35.7
DEOK,11,3231.6035,35.0
DEOK,12,3174.18,37.2
DEOK,13,3310.193,34.7
DEOK,14,3157.1768,38.2
DEOK,15,3244.4343,36.3
DEOK,16,3265.9353,35.3
DEOK,17,3366.6199,34.0
DEOK,18,3431.0107,31.7
DEOK,19,3431.2969,32.0
DEOK,20,3295.2917,29.9
DEOK,21,3228.7312,28.4
DEOK,22,3038.8372,28.6
DEOK,23,2830.6772,29.7
DOM,0,11774.884,39.8
DOM,1,11516.82,39.9
DOM,2,11400.284,40.1
DOM,3,11463.318,40.3
DOM,4,11726.131,40.3
DOM,5,11911.833,40.8
DOM,6,12904.613,41.1
DOM,7,13289.983,40.7
DOM,8,13897.53,41.6
DOM,9,14142.147,42.1
DOM,10,13844.826,44.3
DOM,11,13489.667,47.7
DOM,12,13206.009,48.7
DOM,13,12776.324,51.2
DOM,14,12773.273,52.5
DOM,15,12814.258,52.5
DOM,16,12822.187,51.6
DOM,17,13195.732,50.6
DOM,18,13459.028,49.0
DOM,19,13427.069,48.0
DOM,20,13258.735,46.2
DOM,21,12430.397,45.3
DOM,22,11760.82,44.5
DOM,23,11458.965,43.9
DPL,0,1693.5426,41.6
DPL,1,1717.8055,42.7
DPL,2,1666.2052,42.9
DPL,3,1687.196,42.9
DPL,4,1767.2725,42.7
DPL,5,1892.9562,42.2
DPL,6,2075.0437,42.0
DPL,7,2300.7285,41.5
DPL,8,2307.6592,42.3
DPL,9,2291.076,43.2
DPL,10,2166.2288,45.5
DPL,11,2185.8843,47.9
DPL,12,2102.5278,48.9
DPL,13,2177.4814,47.4
DPL,14,2144.518,48.3
DPL,15,2128.0593,46.8
DPL,16,2312.5706,43.8
DPL,17,2477.6406,40.2
DPL,18,2526.684,38.4
DPL,19,2477.6921,37.2
DPL,20,2422.6912,37.0
DPL,21,2247.3474,36.3
DPL,22,2089.4734,35.9
DPL,23,2014.2126,34.5
DUQ,0,1303.9388,33.0
DUQ,1,1284.5819,33.2
DUQ,2,1284.1593,34.3
DUQ,3,1272.5741,36.1
DUQ,4,1301.9818,37.0
DUQ,5,1344.5529,37.5
DUQ,6,1441.3445,37.0
DUQ,7,1546.7611,35.1
DUQ,8,1584.8939,35.4
DUQ,9,1604.0496,35.7
DUQ,10,1620.0399,35.9
DUQ,11,1626.1376,36.1
DUQ,12,1641.5919,35.1
DUQ,13,1639.6079,34.9
DUQ,14,1624.3519,34.6
DUQ,15,1613.6577,34.0
DUQ,16,1596.9475,33.5
DUQ,17,1653.8215,33.0
DUQ,18,1622.2139,32.7
DUQ,19,1630.9047,32.3
DUQ,20,1617.8176,31.6
DUQ,21,1555.3295,31.4
DUQ,22,1484.397,31.2
DUQ,23,1419.1306,31.2
EKPC,0,1327.9559,39.0
EKPC,1,1357.1853,37.7
EKPC,2,1296.6649,37.5
EKPC,3,1363.5278,36.8
EKPC,4,1352.8623,36.2
EKPC,5,1596.441,37.1
EKPC,6,1719.182,36.9
EKPC,7,1745.5045,36.6
EKPC,8,1688.5547,36.2
EKPC,9,1716.833,36.5
EKPC,10,1726.2664,36.8
EKPC,11,1650.2891,37.7
EKPC,12,1621.816,37.7
EKPC,13,1664.0889,35.9
EKPC,14,1674.5039,35.4
EKPC,15,1643.8958,37.9
EKPC,16,1686.5762,37.2
EKPC,17,1717.1594,34.9
EKPC,18,1822.6096,34.3
EKPC,19,1848.3925,33.4
EKPC,20,1899.7098,32.3
EKPC,21,1818.518,31.5
EKPC,22,1762.4904,31.3
EKPC,23,1721.6542,30.5
JC,0,2036.0963,38.9
JC,1,1987.5967,39.1
JC,2,1930.1575,39.8
JC,3,1936.0085,39.5
JC,4,1930.5516,40.5
JC,5,2088.6697,40.2
JC,6,2311.4836,40.3
JC,7,2452.799,40.0
JC,8,2483.1987,40.7
JC,9,2523.0947,38.8
JC,10,2496.1672,42.0
JC,11,2461.2002,46.1
JC,12,2483.4414,47.9
JC,13,2457.514,48.3
JC,14,2488.2522,48.1
JC,15,2556.028,47.2
JC,16,2710.1194,45.2
JC,17,2877.3718,44.2
JC,18,2914.7317,41.9
JC,19,2841.281,40.5
JC,20,2780.5776,39.8
JC,21,2653.6865,38.1
JC,22,2459.8408,37.4
JC,23,2274.1992,36.1
ME,0,1614.5083,36.1
ME,1,1594.7263,36.3
ME,2,1555.2092,36.7
ME,3,1566.5024,37.0
ME,4,1657.3445,37.1
ME,5,1776.8362,37.1
ME,6,1928.0581,37.2
ME,7,1973.4425,37.6
ME,8,1983.8965,38.5
ME,9,1962.7166,40.7
ME,10,1973.7614,44.4
ME,11,2002.9373,46.1
ME,12,1926.9397,46.5
ME,13,1967.8567,45.3
ME,14,1947.12,43.6
ME,15,2011.3907,42.1
ME,16,2072.94,40.1
ME,17,2131.9404,36.9
ME,18,2136.0442,35.0
ME,19,2131.7378,33.9
ME,20,2095.6895,32.7
ME,21,2019.3771,32.2
ME,22,1914.8649,31.8
ME,23,1795.8004,32.0
OVEC,0,28.117659,39.6
OVEC,1,26.949907,38.3
OVEC,2,28.081427,38.0
OVEC,3,27.525908,37.8
OVEC,4,28.233595,37.1
OVEC,5,33.615395,36.9
OVEC,6,32.29425,36.2
OVEC,7,34.23238,35.9
OVEC,8,37.138622,35.6
OVEC,9,35.989452,35.6
OVEC,10,34.467678,36.0
OVEC,11,35.00063,36.2
OVEC,12,34.21267,36.2
OVEC,13,34.16044,36.6
OVEC,14,34.448032,37.5
OVEC,15,35.35468,36.1
OVEC,16,32.50557,34.1
OVEC,17,43.22293,34.4
OVEC,18,33.97422,33.5
OVEC,19,53.08571,33.3
OVEC,20,30.070986,32.9
OVEC,21,29.956814,33.1
OVEC,22,29.18075,32.0
OVEC,23,31.972279,31.0
PE,0,3594.8394,42.0
PE,1,3426.1797,42.4
PE,2,3434.0508,43.3
PE,3,3351.3657,43.8
PE,4,3448.4832,43.9
PE,5,3789.798,43.5
PE,6,4268.3525,42.4
PE,7,4575.0073,42.4
PE,8,4587.1973,43.3
PE,9,4688.6094,43.6
PE,10,4658.851,45.4
PE,11,4613.948,47.3
PE,12,4511.1035,49.0
PE,13,4479.0723,49.0
PE,14,4555.053,47.4
PE,15,4560.491,46.6
PE,16,4744.463,44.2
PE,17,5209.081,41.1
PE,18,5237.6255,39.1
PE,19,5122.651,37.8
PE,20,5003.764,37.2
PE,21,4779.7983,36.5
PE,22,4463.8013,36.4
PE,23,4193.708,35.4
PEP,0,2820.4043,40.0
PEP,1,2679.165,40.4
PEP,2,2645.079,40.4
PEP,3,2639.0237,39.5
PEP,4,2747.5173,39.8
PEP,5,3003.8298,39.8
PEP,6,3391.2852,39.4
PEP,7,3609.0603,38.9
PEP,8,3689.7966,40.3
PEP,9,3452.605,43.4
PEP,10,3372.4053,46.8
PEP,11,3290.6938,50.0
PEP,12,3357.6753,49.9
PEP,13,3305.684,49.4
PEP,14,3259.782,48.5
PEP,15,3376.2224,47.3
PEP,16,3568.0132,44.9
PEP,17,3760.5806,41.7
PEP,18,3769.4082,39.6
PEP,19,3709.3086,38.4
PEP,20,3598.9243,38.0
PEP,21,3505.2822,37.2
PEP,22,3317.3823,36.4
PEP,23,3239.7253,35.4
PL,0,4318.2603,34.3
PL,1,4331.38,34.3
PL,2,4494.1904,34.1
PL,3,4422.3906,34.8
PL,4,4453.0464,34.3
PL,5,4766.0166,34.4
PL,6,5059.394,34.5
PL,7,5405.6704,35.0
PL,8,5436.964,35.8
PL,9,5383.6772,37.0
PL,10,5280.1196,39.7
PL,11,5241.5054,41.6
PL,12,5247.565,43.8
PL,13,5284.141,42.2
PL,14,5270.217,42.1
PL,15,5226.8594,40.4
PL,16,5413.292,38.1
PL,17,5466.4414,35.5
PL,18,5608.35,33.8
PL,19,5756.0854,32.7
PL,20,5513.4478,32.3
PL,21,5304.6694,32.2
PL,22,5000.2563,32.3
PL,23,4618.135,32.3
PN,0,1851.7113,36.8
PN,1,1847.7625,36.7
PN,2,1801.6422,36.6
PN,3,1775.9435,36.4
PN,4,1803.219,36.4
PN,5,1874.3827,36.4
PN,6,2038.1696,36.1
PN,7,2190.21,35.5
PN,8,2197.179,35.1
PN,9,2184.414,34.1
PN,10,2157.255,35.1
PN,11,2184.5776,36.7
PN,12,2240.0193,37.9
PN,13,2234.1074,35.6
PN,14,2203.1582,36.4
PN,15,2200.0762,36.4
PN,16,2186.541,35.7
PN,17,2222.6055,34.0
PN,18,2207.3413,32.9
PN,19,2245.382,32.3
PN,20,2093.9568,31.9
PN,21,2088.6865,31.9
PN,22,1997.586,31.4
PN,23,1881.2753,31.1
PS,0,4216.266,39.4
PS,1,4108.613,39.5
PS,2,3962.5615,40.8
PS,3,3902.4412,41.7
PS,4,3955.621,42.9
PS,5,4195.188,41.7
PS,6,4648.6997,41.1
PS,7,4850.354,41.2
PS,8,4937.6045,41.6
PS,9,5079.358,40.6
PS,10,5017.557,43.8
PS,11,4858.0283,47.2
PS,12,4831.805,48.7
PS,13,4815.772,48.8
PS,14,4900.681,48.2
PS,15,4984.396,47.1
PS,16,5215.048,45.3
PS,17,5453.5557,43.0
PS,18,5461.6855,41.6
PS,19,5421.9146,39.9
PS,20,5329.3047,38.4
PS,21,5036.607,38.0
PS,22,4778.495,36.3
PS,23,4494.2734,35.8
RECO,0,126.91476,37.2
RECO,1,122.58026,37.8
RECO,2,121.71255,38.3
RECO,3,120.38625,39.1
RECO,4,121.17902,39.0
RECO,5,126.45016,39.4
RECO,6,139.76724,39.5
RECO,7,155.05815,39.9
RECO,8,163.08508,39.2
RECO,9,168.92064,38.9
RECO,10,165.97664,43.3
RECO,11,164.83995,46.3
RECO,12,164.13805,47.0
RECO,13,164.28297,47.1
RECO,14,162.81558,47.2
RECO,15,162.74411,46.0
RECO,16,169.22626,44.7
RECO,17,177.58057,43.7
RECO,18,177.19264,42.7
RECO,19,174.0227,41.0
RECO,20,171.31606,38.3
RECO,21,162.12048,36.9
RECO,22,149.37303,36.0
RECO,23,138.1829,34.8
